iso3_code,financing_scheme,avg_perc
CAN,Government schemes and compulsory contributory health care financing schemes,71.48303391065762
CAN,Household out-of-pocket payments (OOPS),14.693370899596452
CAN,Rest of the world financing schemes (non-resident),0
CAN,Unspecified financing schemes (n.e.c.),0
CAN,Voluntary health care payment schemes,13.823595189746523
MEX,Government schemes and compulsory contributory health care financing schemes,50.55964764746452
MEX,Household out-of-pocket payments (OOPS),40.54792891211261
MEX,Unspecified financing schemes (n.e.c.),0
MEX,Voluntary health care payment schemes,8.892423440422865
USA,Government schemes and compulsory contributory health care financing schemes,83.60428895550031
USA,Household out-of-pocket payments (OOPS),10.800798143521826
USA,Rest of the world financing schemes (non-resident),0
USA,Unspecified financing schemes (n.e.c.),0
USA,Voluntary health care payment schemes,5.5949129009779055
