STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,UNIT_TYPE,DATABASE_ID,TIME_FORMAT,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,PRK,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2024,RANK,RWB_PFI,602,0,RWB_PFI,PU,177,A,Annual,"Korea, Dem. People's Rep.",Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,AFG,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2024,RANK,RWB_PFI,602,0,RWB_PFI,PU,178,A,Annual,Afghanistan,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,SYR,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2024,RANK,RWB_PFI,602,0,RWB_PFI,PU,179,A,Annual,Syrian Arab Republic,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,ERI,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2024,RANK,RWB_PFI,602,0,RWB_PFI,PU,180,A,Annual,Eritrea,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,FIN,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,5,A,Annual,Finland,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,EST,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,2,A,Annual,Estonia,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,NLD,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,3,A,Annual,Netherlands,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,SWE,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,4,A,Annual,Sweden,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,LTU,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,14,A,Annual,Lithuania,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,DNK,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,2025,RANK,RWB_PFI,602,0,RWB_PFI,PU,6,A,Annual,Denmark,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public
