DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,AGE:Current age,RESIDENCE:Residence,EDUCATION_LEVEL:Education Level,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,SERIES_FOOTNOTE:Series footnote,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,SOWC_FLAG_A:SOWC flag A,OBS_FOOTNOTE:Observation footnote,OBS_STATUS:Observation Status,DATA_SOURCE:Data Source,OBS_CONF:Observation confidentaility,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,FREQ_COLL:Time interval at which the source data are collected
UNICEF:GENDER(1.0): Gender,AFG: Afghanistan,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2016,47,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2016,99,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2017,99,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2018,100,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2019,100,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2020,100,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2021,100,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2022,100,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2016,99,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,ARE: United Arab Emirates,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2017,99,,,PCNT: %,,,,SDG Portal,,,
