"","Baker","Round_1_Technical","Round_1","Round_2_Technical","Round_2","Round_3_Technical","Round_3","Round_4_Technical","Round_4","Round_5_Technical","Round_5","Round_6_Technical","Round_6","Round_7_Technical","Round_7","Round_8_Technical","Round_8","Round_9_Technical","Round_9","Round_10_Technical","Round_10","Technicals","Star_Bakers","series"
"1","Nancy",1,"SB",2,"SAFE",5,"SAFE",4,"SAFE",4,"HIGH",1,"HIGH",2,"HIGH",3,"LOW",3,"LOW",1,"WINNER",3,1,"5"
"2","Luis",7,"SAFE",3,"HIGH",2,"SB",2,"HIGH",6,"SAFE",3,"HIGH",5,"SAFE",2,"HIGH",1,"HIGH",2,"Runnerup",1,1,"5"
"3","Richard",10,"HIGH",1,"SB",6,"SAFE",5,"SB",7,"LOW",5,"LOW",1,"SB",4,"SB",2,"SB",3,"Runnerup",2,5,"5"
"4","Chetna",3,"SAFE",8,"SAFE",8,"SAFE",3,"SAFE",2,"SAFE",2,"SB",6,"SAFE",1,"SAFE",4,"OUT",NA,"",1,1,"5"
"5","Martha",2,"HIGH",5,"SAFE",3,"SAFE",1,"SAFE",1,"LOW",4,"SAFE",3,"LOW",5,"OUT",NA,"",NA,"",2,0,"5"
"6","Kate",6,"SAFE",4,"SAFE",1,"HIGH",7,"HIGH",3,"SB",6,"LOW",4,"OUT",NA,"",NA,"",NA,"",1,1,"5"
"7","Norman",11,"SAFE",10,"LOW",4,"LOW",8,"LOW",5,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"5"
"8","Diana",5,"SAFE",7,"SAFE",7,"SAFE",9,"SAFE",NA,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"5"
"9","Iain",4,"LOW",11,"SAFE",9,"SAFE",6,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"5"
"10","Jordan",12,"LOW",6,"SAFE",10,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"5"
"11","Enwezor",9,"SAFE",9,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"5"
"12","Claire",8,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"5"
"13","Nadiya",12,"HIGH",9,"SAFE",9,"SAFE",8,"HIGH",1,"SB",4,"LOW",1,"HIGH",1,"SB",4,"SB",1,"WINNER",4,3,"6"
"14","Ian",8,"SAFE",3,"SB",1,"SB",4,"SB",5,"SAFE",3,"SAFE",5,"HIGH",2,"SAFE",3,"LOW",2,"Runnerup",1,3,"6"
"15","Tamal",4,"HIGH",8,"SAFE",3,"SAFE",5,"HIGH",7,"SAFE",7,"SAFE",3,"SB",4,"HIGH",2,"HIGH",3,"Runnerup",0,1,"6"
"16","Flora",6,"HIGH",2,"SAFE",2,"SAFE",3,"SAFE",3,"LOW",2,"HIGH",4,"SAFE",3,"LOW",1,"OUT",NA,"",1,0,"6"
"17","Paul",10,"SAFE",10,"LOW",10,"HIGH",1,"LOW",2,"HIGH",5,"SAFE",2,"LOW",5,"OUT",NA,"",NA,"",1,0,"6"
"18","Mat",7,"SAFE",5,"HIGH",8,"LOW",7,"SAFE",4,"SAFE",1,"SB",6,"OUT",NA,"",NA,"",NA,"",1,1,"6"
"19","Alvin",2,"SAFE",6,"SAFE",4,"HIGH",9,"LOW",8,"SAFE",6,"OUT",NA,"",NA,"",NA,"",NA,"",0,0,"6"
"20","Ugn",1,"LOW",7,"SAFE",5,"SAFE",2,"SAFE",6,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",1,0,"6"
"21","Sandy",9,"SAFE",4,"HIGH",7,"SAFE",6,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"6"
"22","Dorret",5,"LOW",1,"LOW",6,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",1,0,"6"
"23","Marie",3,"SB",11,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,1,"6"
"24","Stu",11,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"6"
"25","Candice",5,"LOW",8,"SB",3,"LOW",2,"SAFE",2,"SB",5,"HIGH",2,"SAFE",1,"SB",3,"HIGH",2,"WINNER",1,3,"7"
"26","Andrew",12,"SAFE",4,"HIGH",2,"HIGH",4,"HIGH",6,"SAFE",6,"LOW",1,"SB",2,"SAFE",2,"SB",1,"Runnerup",2,2,"7"
"27","Jane",7,"SB",2,"SAFE",9,"SAFE",3,"SAFE",1,"HIGH",4,"SAFE",4,"SAFE",5,"HIGH",1,"LOW",3,"Runnerup",2,1,"7"
"28","Selasi",1,"HIGH",11,"SAFE",5,"SAFE",8,"SAFE",3,"SAFE",7,"HIGH",6,"LOW",3,"LOW",4,"OUT",NA,"",1,0,"7"
"29","Benjamina",6,"HIGH",3,"SAFE",6,"SAFE",1,"SB",5,"SAFE",2,"SAFE",3,"HIGH",4,"OUT",NA,"",NA,"",1,1,"7"
"30","Tom",2,"SAFE",7,"SAFE",4,"SB",5,"LOW",4,"LOW",1,"SB",5,"OUT",NA,"",NA,"",NA,"",1,2,"7"
"31","Rav",8,"SAFE",6,"SAFE",10,"SAFE",9,"LOW",8,"SAFE",3,"OUT",NA,"",NA,"",NA,"",NA,"",0,0,"7"
"32","Val",10,"LOW",5,"LOW",1,"LOW",6,"SAFE",7,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",1,0,"7"
"33","Kate",4,"SAFE",1,"SAFE",8,"HIGH",7,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",1,0,"7"
"34","Michael",3,"SAFE",9,"SAFE",7,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"7"
"35","Louise",9,"SAFE",10,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"7"
"36","Lee",11,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"7"
"37","Sophie",5,"HIGH",2,"HIGH",6,"SAFE",4,"SAFE",1,"SB",2,"HIGH",3,"HIGH",4,"SAFE",1,"SB",2,"WINNER",2,2,"8"
"38","Kate",1,"SAFE",8,"LOW",10,"SAFE",6,"SB",8,"SAFE",5,"SAFE",6,"LOW",2,"LOW",4,"HIGH",3,"Runnerup",1,1,"8"
"39","Steven",6,"SB",6,"SB",3,"HIGH",7,"SAFE",5,"SAFE",3,"SAFE",1,"SB",1,"HIGH",3,"LOW",1,"Runnerup",3,3,"8"
"40","Stacey",11,"LOW",9,"LOW",1,"SAFE",1,"SAFE",4,"HIGH",6,"LOW",4,"LOW",3,"SB",2,"OUT",NA,"",2,1,"8"
"41","Liam",8,"SAFE",7,"SAFE",5,"LOW",3,"HIGH",2,"LOW",4,"SB",2,"HIGH",5,"OUT",NA,"",NA,"",0,1,"8"
"42","Yan",4,"SAFE",1,"SAFE",8,"SAFE",8,"SAFE",6,"SAFE",1,"HIGH",5,"OUT",NA,"",NA,"",NA,"",2,0,"8"
"43","Julia",3,"SAFE",4,"SAFE",2,"SB",9,"SAFE",3,"LOW",7,"OUT",NA,"",NA,"",NA,"",NA,"",0,1,"8"
"44","James",2,"SAFE",3,"SAFE",9,"SAFE",2,"LOW",7,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"8"
"45","Tom",7,"SAFE",5,"HIGH",4,"SAFE",5,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"8"
"46","Flo",9,"HIGH",10,"LOW",7,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"8"
"47","Chris",12,"LOW",11,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"8"
"48","Peter",10,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"8"
"49","Rahul",7,"SAFE",2,"SB",4,"SB",4,"HIGH",3,"HIGH",3,"HIGH",1,"HIGH",5,"LOW",4,"LOW",2,"WINNER",1,2,"9"
"50","KimJoy",10,"SAFE",4,"SAFE",10,"SAFE",6,"SAFE",4,"SB",5,"SAFE",6,"SB",2,"LOW",2,"HIGH",1,"Runnerup",1,2,"9"
"51","Ruby",1,"LOW",10,"SAFE",7,"SAFE",2,"SAFE",1,"SAFE",7,"HIGH",3,"LOW",3,"SB",1,"SB",3,"Runnerup",3,2,"9"
"52","Briony",2,"HIGH",5,"LOW",9,"LOW",5,"LOW",6,"LOW",1,"SB",5,"SAFE",1,"HIGH",3,"OUT",NA,"",2,1,"9"
"53","Manon",3,"SB",6,"SAFE",3,"SAFE",8,"SAFE",5,"SAFE",4,"LOW",2,"SAFE",4,"OUT",NA,"",NA,"",0,1,"9"
"54","Jon",5,"SAFE",1,"HIGH",2,"SAFE",3,"HIGH",7,"LOW",2,"SAFE",4,"OUT",NA,"",NA,"",NA,"",1,0,"9"
"55","Dan",4,"SAFE",3,"HIGH",6,"HIGH",1,"SB",2,"SAFE",6,"OUT",NA,"",NA,"",NA,"",NA,"",1,1,"9"
"56","Karen",6,"SAFE",11,"SAFE",5,"SAFE",7,"LOW",9,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"9"
"57","Terry",9,"LOW",8,"LOW",1,"SAFE",NA,"SAFE",8,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",1,0,"9"
"58","Antony",12,"SAFE",9,"SAFE",8,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"9"
"59","Luke",8,"SAFE",7,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"9"
"60","Imelda",11,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"9"
"61","David",9,"SAFE",2,"HIGH",2,"SAFE",2,"HIGH",9,"HIGH",2,"HIGH",2,"HIGH",1,"HIGH",2,"LOW",1,"WINNER",2,0,"10"
"62","Alice",5,"SAFE",1,"SB",7,"LOW",8,"SAFE",6,"SAFE",1,"HIGH",6,"SAFE",3,"SAFE",4,"SB",2,"Runnerup",2,2,"10"
"63","Steph",3,"HIGH",10,"SAFE",3,"HIGH",1,"SB",4,"SB",3,"SB",4,"HIGH",4,"SB",3,"HIGH",3,"Runnerup",1,4,"10"
"64","Rosie",2,"SAFE",5,"HIGH",9,"SAFE",4,"SAFE",5,"LOW",5,"LOW",1,"LOW",2,"LOW",1,"OUT",NA,"",2,0,"10"
"65","Henry",1,"SAFE",6,"SAFE",1,"LOW",3,"SAFE",3,"HIGH",4,"LOW",3,"SB",5,"OUT",NA,"",NA,"",2,1,"10"
"66","Michael",11,"SAFE",4,"SAFE",6,"SB",7,"LOW",8,"SAFE",6,"LOW",5,"OUT",NA,"",NA,"",NA,"",0,1,"10"
"67","Priya",7,"SAFE",7,"SAFE",4,"SAFE",10,"LOW",2,"LOW",7,"OUT",NA,"",NA,"",NA,"",NA,"",0,0,"10"
"68","Helena",12,"SAFE",12,"SAFE",8,"SAFE",9,"SAFE",1,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",1,0,"10"
