year,anomaly,paris_threshold
1880,-0.18,1.5
1881,-0.09,1.5
1882,-0.11,1.5
1883,-0.17,1.5
1884,-0.28,1.5
1885,-0.34,1.5
1886,-0.32,1.5
1887,-0.37,1.5
1888,-0.18,1.5
1889,-0.11,1.5
1890,-0.36,1.5
1891,-0.22,1.5
1892,-0.27,1.5
1893,-0.31,1.5
1894,-0.31,1.5
1895,-0.23,1.5
1896,-0.12,1.5
1897,-0.11,1.5
1898,-0.28,1.5
1899,-0.18,1.5
1900,-0.09,1.5
1901,-0.16,1.5
1902,-0.28,1.5
1903,-0.37,1.5
1904,-0.47,1.5
1905,-0.26,1.5
1906,-0.22,1.5
1907,-0.39,1.5
1908,-0.43,1.5
1909,-0.49,1.5
1910,-0.44,1.5
1911,-0.45,1.5
1912,-0.37,1.5
1913,-0.35,1.5
1914,-0.15,1.5
1915,-0.14,1.5
1916,-0.36,1.5
1917,-0.46,1.5
1918,-0.3,1.5
1919,-0.28,1.5
1920,-0.28,1.5
1921,-0.19,1.5
1922,-0.28,1.5
1923,-0.27,1.5
1924,-0.27,1.5
1925,-0.22,1.5
1926,-0.11,1.5
1927,-0.22,1.5
1928,-0.2,1.5
1929,-0.36,1.5
1930,-0.16,1.5
1931,-0.09,1.5
1932,-0.16,1.5
1933,-0.29,1.5
1934,-0.13,1.5
1935,-0.2,1.5
1936,-0.15,1.5
1937,-0.03,1.5
1938,0,1.5
1939,-0.02,1.5
1940,0.12,1.5
1941,0.18,1.5
1942,0.06,1.5
1943,0.09,1.5
1944,0.2,1.5
1945,0.09,1.5
1946,-0.07,1.5
1947,-0.03,1.5
1948,-0.11,1.5
1949,-0.11,1.5
1950,-0.18,1.5
1951,-0.07,1.5
1952,0.01,1.5
1953,0.08,1.5
1954,-0.13,1.5
1955,-0.14,1.5
1956,-0.19,1.5
1957,0.05,1.5
1958,0.06,1.5
1959,0.03,1.5
1960,-0.02,1.5
1961,0.06,1.5
1962,0.03,1.5
1963,0.05,1.5
1964,-0.2,1.5
1965,-0.11,1.5
1966,-0.06,1.5
1967,-0.02,1.5
1968,-0.08,1.5
1969,0.05,1.5
1970,0.03,1.5
1971,-0.08,1.5
1972,0.01,1.5
1973,0.16,1.5
1974,-0.07,1.5
1975,-0.01,1.5
1976,-0.1,1.5
1977,0.18,1.5
1978,0.07,1.5
1979,0.16,1.5
1980,0.26,1.5
1981,0.32,1.5
1982,0.14,1.5
1983,0.31,1.5
1984,0.16,1.5
1985,0.12,1.5
1986,0.18,1.5
1987,0.32,1.5
1988,0.39,1.5
1989,0.27,1.5
1990,0.45,1.5
1991,0.4,1.5
1992,0.22,1.5
1993,0.23,1.5
1994,0.31,1.5
1995,0.44,1.5
1996,0.33,1.5
1997,0.46,1.5
1998,0.61,1.5
1999,0.38,1.5
2000,0.39,1.5
2001,0.53,1.5
2002,0.63,1.5
2003,0.61,1.5
2004,0.53,1.5
2005,0.68,1.5
2006,0.64,1.5
2007,0.66,1.5
2008,0.54,1.5
2009,0.66,1.5
2010,0.72,1.5
2011,0.61,1.5
2012,0.64,1.5
2013,0.68,1.5
2014,0.75,1.5
2015,0.9,1.5
2016,1.01,1.5
2017,0.92,1.5
2018,0.85,1.5
2019,0.98,1.5
2020,1.01,1.5
2021,0.85,1.5
2022,0.89,1.5
2023,1.17,1.5
2024,1.29,1.5
2025,1.19,1.5
